label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13
1	430 m/s	1.0412	FERRET	PIG, RAT	tONY	1160	-0.9418	cat	-660	-105	1436	0.6782	-1656	233 mph
0	13 m/s	0.3067	pig	BIRD	Reilly	238	0.0645	dog	1387	2217	566	0.5184	9	656 mph
2	771 m/s	-0.8457	guinea pig	ferret	Inan	-171	0.43	pig	540	2280	175	-0.0327	-1705	1249 mph
2	1498 m/s	0.2637	dog	ferret	Lise	2311	1.2409	pig	455	1306	794	1.2051	302	863 mph
2	66 m/s	0.17	guinea pig	ferret	Vani	994	0.0216	reptile	501	1922	754	-1.558	883	-1072 mph
1	-466 m/s	1.0622	reptile	pig	Tony	1005	-0.6157	rat	85	-24	816	0.5892	156	309 mph
0	90 m/s	1.7763	fish	dog, reptile, cat	Reilly	1366	1.1629	dog	312	1091	31	-0.0564	2272	430 mph
1	444 m/s	0.666	rat	rat	Andrew	1591	0.0628	fish	177	1199	533	-0.2828	547	756 mph
0	1261 m/s	0.3105	PIG	rabbit, reptile, cat	Reilly	-167	-0.5549	dog	705	-159	1076	2.1931	3538	772 mph
1	634 m/s	-0.2719	rabbit	chicken	Fabrice, Michael	605	0.2028	cat	158	480	332	-0.2407	2186	53 mph
4	-161 m/s	0.9055	fish	guinea pig	Chris, Sam	718	1.419	hamster	903	283	1534	0.3868	1500	910 mph
0	1271 m/s	1.4404	cat	reptile	Reilly	N/A	1.0018	dog	-571	2306	1069	-0.5037	1712	160 mph
3	532 m/s	0.2192	NULL	hamster	lise	1169	0.2985	rabbit	505	51	668	1.1081	-899	518 mph
2	533 m/s	2.4798	guinea pig	ferret	Fabrice, Michael	-1036	1.0648	pig	-759	1895	891	-0.5464	549	-308 mph
3	1699 m/s	1.6905	rat	hamster	Lise	-289	-0.1223	ferret	764	-1658	966	-0.3009	-193	477 mph
3	-443 m/s	0.252	hamster	hamster	Lise	555	-1.1821	n/a	-54	1369	-95	1.2308	-479	N/A
1	713 m/s	1.0278	rabbit	pig, fish	Tony	1120	0.9304	guinea pig	727	-236	1642	0.3227	1485	481 mph
4	400 m/s	0.6205	fish	chicken	Andrew	-649	0.1367	hamster	-66	550	-111	2.2744	None	404 mph
0	1304 m/s	-0.6224	pig	cat	Chris, Sam	508	1.2764	DOG	-944		18	0.6363	-92	-242 mph
4	-168 m/s	1.1975	fish	guinea pig	Sam	0	2.1319	hamster	-559	383	955	0.2598	1612	877 mph
1	-310 m/s	1.3334	n/a	fish	Tony, Eriq	-54	1.4163	rat	609	421	976	-1.0391	-147	211 mph
4	-304 m/s	1.428	fish	chicken	Vani, Sam	1021	1.0191	hamster	483	2	386	0.6357	1270	569 mph
2	1060 m/s	2.9819	dog	ferret	Michael	1037	0.2804	pig	1391	375	1803	1.1704	-1397	-435 mph
2	-122 m/s	1.5794	guinea pig	ferret	Michael	523	-0.0007	pig	-103	14	1339	1.3662	-1447	1900 mph
4	380 m/s	0.4987	fish	guinea pig	Lise	552	0.5211	hamster	-231	-23	968	2.0928	982	1367 mph
0	78 m/s	0.1689	pig	reptile, rabbit	Reilly	325	0.336	dog	-63	789	230	1.1165	609	1435 mph
0	-611 m/s	2.1749	cat	reptile, dog, cat	Reilly	-532	0.6403	bird	373	1003	462	0.4271	827	1584 mph
1	734 m/s	0.6578	reptile	rat, pig	Eriq	1744	0.2442	reptile	1082	729	1537	-0.5015	-1823	233 mph
3	2361 m/s	0.1426	bird	hamster	Lise	1763	0.1001	rabbit	72	2142	-704	0.8977	951	328 mph
2	1046 m/s	1.2891	Rat	ferret	Inan	-1640	0.5365	pig	95	-1154	2294	-0.611	452	-22 mph
3	846 m/s	0.2849	hamster	hamster	Lise	1140	0.817	ferret	615	-632	1193	-0.3043	-1413	1608 mph
4	-825 m/s	0.6084	fish	chicken	Vani, Sam	200	0.7428	hamster	169	-1283	-126	1.1686	1008	1066 mph
4	-1075 m/s	0.2832	cat	chicken	Chris	1837	0.0746	hamster	-1226	900	-417	-0.5791	1747	1040 mph
4	424 m/s	1.2205	fish	chicken	Vani	63	2.1458	hamster	1038	552	-632	0.3302	1499	164 mph
4	-477 m/s	0.3641	fish	chicken	VANI, SAM	-127	1.8807	hamster	1037	1449	740	-0.1696	209	1072 mph
1	420 m/s	2.3216	bird	rat	Tony	-192	0.2101	hamster	-307	1474	1913	1.6685	-813	590 mph
2	1246 m/s	1.0979	reptile	ferret	Inan	-497	-0.6638	pig	1610	1478	510	0.3168	-526	83 mph
3	1275 m/s	0.3975	ferret	hamster	Lise	369	0.1768	rabbit	1206	812	1027	1.1111	145	2565 mph
3	1481 m/s	-0.3237	ferret	hamster	Lise	1281	0.3167	FERRET	159	797	-390	0.4343	-1299	7 mph
1	138 m/s	1.1617	rabbit	RAT, PIG	Reilly	599	0.7037	reptile	-334	0	405	N/A	-1283	474 mph
0	1109 m/s	1.2463	fish	cat, dog, reptile	Reilly	-86	1.4857	dog	855	1530	409	1.4043	575	1553 mph
3	1856 m/s	-0.2293	ferret	bird	Lise	608	-0.3221	n/a	1607	-1150	388	0.5951	-582	-1495 mph
2	2204 m/s	-0.3165	dog	Ferret	Inan	-538	-1.2632	pig	1936	2814	-521	-0.0746	665	716 mph
2	672 m/s	-0.1063	dog	ferret	NULL	-344	-0.7378	pig	265	209	1040	1.0546	-1126	70 mph
2	1178 m/s	1.4446	chicken	ferret		1271	-0.5735	pig	450	540	1108	0.6335	-573	-93 mph
1	727 m/s	0.4627	reptile	rat	Andrew, Eriq	-50	0.5455	fish	517	-331	263	-0.3284	-892	761 mph
1	32 m/s	1.4575	reptile	fish	Tony, Eriq	681	1.2625	chicken	-617	2607	1794	1.7302	-1009	834 mph
1	-42 m/s	-0.114	reptile	fish	Eriq, Tony	-1492	-0.2403	cat	1644	69	782	0.8052	229	1950 mph
4	823 m/s	1.1679	fish	guinea pig	Chris, Vani	858	0.6676	hamster	1421	-60	342	0.1992	274	248 mph
1	-154 m/s	0.5249	reptile	pig, fish	Eriq, Andrew	n/a	-0.155	rat	-35	-917	1769	0.1168	-706	1271 mph
0	-128 m/s	0.1974	fish	reptile	Reilly	1317	1.489	bird	-149	-256	1223	2.2065	1321	-214 mph
3	1371 m/s	0.2525	hamster	bird	Lise	1185	-0.3534	hamster	-205	293	-18	0.1648	-132	1381 mph
4	-788 m/s	0.8415	fish	chicken	Michael	153	2.1575	hamster	1101	118	23	-1.237	918	1366 mph
3	1347 m/s	0.5661	rat	bird	Lise	75	0.7839	rabbit	1168	-83	-1363	0.6751	-850	721 mph
3	-30 m/s	-0.4639	rabbit	bird	Lise	-412	0.4277	rabbit	199	-2004	469	-0.094	1327	390 mph
2	753 m/s	-0.7074	chicken	ferret	Fabrice	26	1.6397	pig	136	230	913	-0.8002	1205	962 mph
3	446 m/s	-1.1439	rat	hamster	Lise	1249	0.6422	ferret	612	1923	68	1.3873	820	983 mph
1	170 m/s	1.1166	rabbit	rat	Andrew	730	0.373	chicken	435	2583	805	0.0178	-407	163 mph
0	-271 m/s	1.3987	guinea pig	dog, reptile	Reilly	178	0.7416	bird	-94	1220	-368	0.1814	1146	482 mph
1	1148 m/s	-0.4951	rabbit	fish	Eriq, Andrew	1453	-0.327	guinea pig	627	1171	942	-1.9607	-1374	-30 mph
1	728 m/s	0.7711	reptile	fish	Tony	-1321	0.2689	reptile	566	750	639	0.5316	1782	2477 mph
1	-503 m/s	1.6692	reptile	fish, rat	Eriq	730	1.0095	cat	-337	1026	260	2.228	743	515 mph
2	1519 m/s	0.5016	dog	ferret	Inan	632	0.2636	pig	470	1463	1915	1.302	-1435	234 mph
2	624 m/s	1.0397	dog	ferret	Inan	1305	1.0097	pig	150	-829	1334	1.1679	2174	365 mph
4	1195 m/s	0.841	fish	guinea pig	Sam, Vani	691	0.4288	hamster	195	927	None	0.1012	1886	326 mph
4	997 m/s	2.2296	fish	guinea pig	Vani, Sam	-591	1.1243	hamster	301	-389	-321	0.8316	None	2205 mph
0	271 m/s	-0.04	pig	dog, reptile	Reilly	898	1.1232	dog	815	1867	-94	-0.5591	226	1369 mph
3	-177 m/s	0.5234	fish	bird	Lise	1193	0.7189	ferret	-69	19	323	0.2659	-592	1547 mph
2	-979 m/s	0.2878	guinea pig	ferret	Michael	716	0.8949	hamster	-609	670	776	0.5791	-1412	64 mph
3	665 m/s	1.5831	fish	bird	Lise	660	0.755	ferret	403	741	660	2.1075	-461	1701 mph
0	564 m/s	0.6569	reptile	rabbit, reptile, cat	Reilly	-340	1.0273	dog	457	-1193	1283	0.2248	608	887 mph
1	-361 m/s	0.6309	rabbit	fish, rat	N/A	1360	0.5739	chicken	16	1688	-221	-0.836	-646	1261 mph
1	253 m/s	1.5822	NULL	pig, rat	tony	558	-1.174	chicken	-398	427	1508	0.6469	-394	1112 mph
4	322 m/s	0.9111	fish	guinea pig	Chris, Vani	-327	0.6938	hamster	144	-1283	916	1.1212	2145	1373 mph
1	724 m/s	0.981	rabbit	rat	Andrew	-69	0.4238	rat	198	1792	1502	0.7405	-888	787 mph
4	1237 m/s	0.0601	fish	chicken	Sam, Vani	-108	1.3799	hamster	735	-184	708	-0.0887	292	848 mph
3	877 m/s	-0.4626	bird	bird	Lise	2443	0.1755	ferret	-686	-1152	257	0.3237	1393	2673 mph
2	-106 m/s	2.6686	chicken	ferret	Sam, Vani	761	0.5748	pig	600	1313	2209	0.6093	-1204	289 mph
3	837 m/s	0.8579	rat	bird	Inan, Michael	700	1.334	Ferret	1234	510	417	1.0281	1275	1514 mph
0	-70 m/s	2.1031	cat	cat, rabbit	Reilly	367	1.0635	rabbit	72	-1291	294	-0.4281	765	247 mph
0	652 m/s	1.0989	pig	reptile, dog, cat	Reilly	-180	1.6597	dog	-6	-348	457	0.2828	-1295	1987 mph
0	-406 m/s	0.3916	pig	reptile	Inan	-441	-0.1548	dog	1082	332	n/a	1.8626	573	534 mph
1	479 m/s	0.2378	rabbit	pig, fish	Eriq, Andrew	609	-0.065	reptile	90	1369	1093	-0.6518	22	-344 mph
2	908 m/s	None	chicken	ferret	Michael	-301	0.8487	ferret	171	2318	1543	0.4704	-120	-194 mph
4	-935 m/s	0.7039	rabbit	chicken	Sam	-771	0.739	hamster	1826	80	183	-0.1551	-1171	2526 mph
0	682 m/s	-0.1486	cat	rabbit	Fabrice, Michael	194	0.4396	dog	1140	-504	801	0.2844	95	1057 mph
4	434 m/s	0.9209	fish	guinea pig	Sam	772	-0.0875	hamster	n/a	-430	1012	-0.3299	2226	508 mph
3	363 m/s	0.2213	ferret	hamster	Lise	-1067	1.3281	rabbit	915	570	-35	1.1759	1359	1681 mph
0	1277 m/s	1.0283	cat	dog, cat	Lise	1078	0.9046	bird	-816	3003	934	1.6245	3313	1267 mph
2	-333 m/s	1.2369	chicken	ferret	Michael, Fabrice	852	0.7682	pig	-270	191	554	-0.3618	-245	1001 mph
3	878 m/s	1.98	RAT	rabbit	Lise	1172	0.7727	rabbit	1410	25	782	1.4244	-459	721 mph
2	1637 m/s	1.25	chicken	cat	Michael, Fabrice	414	0.212	pig	1879	-146	1434	-0.4784	586	-90 mph
4	1207 m/s	1.4663	fish	guinea pig	Chris	-1131	-0.0531	hamster	-1145	262	188	0.1293	-959	1931 mph
0	1223 m/s	2.0408	fish	dog	Michael, Inan	-403	-0.9893	dog	305	231	-642	0.0727	-728	765 mph
1	231 m/s	0.8812	rabbit	rat, pig	Tony	1339	NULL	cat	1032	129	2038	-0.8715	-843	1459 mph
2	1523 m/s	1.9408	dog	ferret	Inan	1452	1.2765	pig	580	534	1317	-0.343	165	42 mph
0	484 m/s	1.1646	pig	rabbit, dog, cat	Reilly	279	-0.9699	bird	197	872	179	-0.005	1248	551 mph
2	1425 m/s	-0.6599	rabbit	ferret	Lise	1020	1.7551	pig	10	1557	1357	0.0197	-1861	-274 mph
2	1526 m/s	-0.6399	rat	ferret	Michael, Fabrice	473	-0.503	PIG	473	-288	859	-0.1308	14	1947 mph
1	1110 m/s	1.4015	rabbit	rat	Andrew	546	0.9982	guinea pig	-415	1451	-93	-0.3636	309	771 mph
4	1172 m/s	1.7336	fish	chicken	Chris	-346	2.0596	hamster	1620	-524	469	0.5916	2519	212 mph
0	742 m/s	2.828	ferret	Rabbit, Dog	Reilly	-256	-0.2504	dog	-691	1610	-356	0.2774	284	628 mph
4	907 m/s	1.1588	fish	guinea pig	Sam	-393	0.6382	hamster	1253	-129	674	-1.5401	-244	-694 mph
4		0.6209	fish	reptile, dog, cat	Sam, Vani	-237	-1.0328	hamster	1692	-1127	-117	-0.7152	3581	759 mph
2	1048 m/s	0.7899	fish	ferret	Inan	-9	0.0201	pig	-320	-495	1162	-0.4028	525	-541 mph
2	438 m/s	0.2706	reptile	ferret	Fabrice, Inan	1175	-0.4035	pig	476	2872	1578	0.8325	467	181 mph
3	911 m/s	0.6685	rat	bird	Lise	940	1.0902	rabbit	206	-1282	-449	1.5284	1406	668 mph
4	-311 m/s	0.9174	fish	guinea pig	Chris, Vani	-450	0.4749	hamster	NULL	455	1392	0.1408	491	-45 mph
2	1294 m/s	3.2016	dog	ferret	Fabrice, Michael	503	0.9812	pig	553	366	297	0.1275	1717	1372 mph
4	717 m/s	2.4309	NULL	guinea pig	SAM, CHRIS	1012	1.5298	hamster	892	336	1755	-0.4921	785	689 mph
0	807 m/s	0.0477	n/a	cat, dog	Reilly	916	-0.2408	bird	-384	2033	43	0.4331	2551	903 mph
0	273 m/s	0.4625	cat	cat, rabbit, dog	Reilly	-1336	-0.7136	dog	1377	-58	244	1.3158	-972	891 mph
0	803 m/s	0.2924	fish	dog, rabbit	Reilly	-196	1.6791	dog	-16	65	643	1.2202	1090	1674 mph
3	515 m/s	0.1528	bird	bird	Lise	764	1.9998	ferret	-637	-1191	-51	0.6733	578	3343 mph
